uptime=10383.80 [s], total pulses=323, cpm=(0.00, 1.86) [1/min]
uptime=10383.80 [s], total pulses=324, cpm=(0.00, 1.86) [1/min]
uptime=10406.50 [s], total pulses=325, cpm=(0.00, 1.87) [1/min]
uptime=10406.50 [s], total pulses=326, cpm=(0.00, 1.87) [1/min]
uptime=10475.60 [s], total pulses=327, cpm=(0.00, 1.87) [1/min]
uptime=10480.80 [s], total pulses=328, cpm=(0.00, 1.87) [1/min]
uptime=10548.70 [s], total pulses=329, cpm=(0.00, 1.87) [1/min]
uptime=10548.70 [s], total pulses=330, cpm=(0.00, 1.87) [1/min]
uptime=10598.70 [s], total pulses=331, cpm=(0.00, 1.87) [1/min]
uptime=10637.30 [s], total pulses=332, cpm=(0.00, 1.87) [1/min]
uptime=10709.10 [s], total pulses=333, cpm=(0.00, 1.86) [1/min]
uptime=10709.10 [s], total pulses=334, cpm=(0.00, 1.86) [1/min]
uptime=10712.90 [s], total pulses=335, cpm=(0.00, 1.87) [1/min]
uptime=10747.80 [s], total pulses=336, cpm=(0.00, 1.87) [1/min]
uptime=10756.70 [s], total pulses=337, cpm=(0.00, 1.87) [1/min]
uptime=10756.70 [s], total pulses=338, cpm=(0.00, 1.87) [1/min]
uptime=10757.80 [s], total pulses=339, cpm=(0.00, 1.89) [1/min]
uptime=10788.70 [s], total pulses=340, cpm=(0.00, 1.89) [1/min]
uptime=10800.00 [s], total pulses=341, cpm=(0.02, 1.89) [1/min]
uptime=10908.40 [s], total pulses=342, cpm=(0.00, 1.88) [1/min]
uptime=10938.50 [s], total pulses=343, cpm=(0.00, 1.88) [1/min]
uptime=10976.60 [s], total pulses=345, cpm=(0.02, 1.88) [1/min]
uptime=11062.20 [s], total pulses=346, cpm=(0.00, 1.87) [1/min]
uptime=11064.50 [s], total pulses=347, cpm=(0.00, 1.88) [1/min]
uptime=11136.10 [s], total pulses=348, cpm=(0.00, 1.87) [1/min]
uptime=11185.10 [s], total pulses=349, cpm=(0.00, 1.87) [1/min]
uptime=11219.50 [s], total pulses=350, cpm=(0.00, 1.87) [1/min]
uptime=11266.30 [s], total pulses=351, cpm=(0.00, 1.86) [1/min]
uptime=11281.80 [s], total pulses=352, cpm=(0.00, 1.87) [1/min]
uptime=11281.80 [s], total pulses=353, cpm=(0.00, 1.87) [1/min]
uptime=11327.40 [s], total pulses=354, cpm=(0.00, 1.87) [1/min]
uptime=11327.40 [s], total pulses=355, cpm=(0.00, 1.87) [1/min]
uptime=11354.90 [s], total pulses=356, cpm=(0.00, 1.88) [1/min]
uptime=11354.90 [s], total pulses=357, cpm=(0.00, 1.88) [1/min]
uptime=11430.70 [s], total pulses=358, cpm=(0.00, 1.87) [1/min]
uptime=11446.90 [s], total pulses=359, cpm=(0.00, 1.88) [1/min]
uptime=11446.90 [s], total pulses=360, cpm=(0.00, 1.88) [1/min]
uptime=11461.30 [s], total pulses=361, cpm=(0.00, 1.88) [1/min]
uptime=11473.70 [s], total pulses=362, cpm=(0.00, 1.89) [1/min]
uptime=11545.50 [s], total pulses=363, cpm=(0.00, 1.88) [1/min]
uptime=11569.40 [s], total pulses=364, cpm=(0.00, 1.88) [1/min]
uptime=11579.10 [s], total pulses=365, cpm=(0.00, 1.89) [1/min]
uptime=11579.50 [s], total pulses=366, cpm=(0.57, 1.89) [1/min]
uptime=11733.60 [s], total pulses=367, cpm=(0.00, 1.87) [1/min]
uptime=11733.60 [s], total pulses=368, cpm=(0.00, 1.87) [1/min]
uptime=11804.30 [s], total pulses=369, cpm=(0.00, 1.87) [1/min]
