uptime=11836.40 [s], total pulses=278, cpm=(0.00, 1.40) [1/min]
uptime=11945.90 [s], total pulses=279, cpm=(0.00, 1.40) [1/min]
uptime=11946.00 [s], total pulses=280, cpm=(0.05, 1.41) [1/min]
uptime=11983.30 [s], total pulses=282, cpm=(0.02, 1.41) [1/min]
uptime=12011.30 [s], total pulses=283, cpm=(0.00, 1.41) [1/min]
uptime=12011.30 [s], total pulses=284, cpm=(0.00, 1.41) [1/min]
uptime=12015.70 [s], total pulses=285, cpm=(0.00, 1.42) [1/min]
uptime=12022.50 [s], total pulses=286, cpm=(0.00, 1.42) [1/min]
uptime=12034.90 [s], total pulses=287, cpm=(0.00, 1.43) [1/min]
uptime=12034.90 [s], total pulses=288, cpm=(0.00, 1.43) [1/min]
uptime=12158.80 [s], total pulses=289, cpm=(0.00, 1.42) [1/min]
uptime=12164.50 [s], total pulses=290, cpm=(0.00, 1.43) [1/min]
uptime=12164.50 [s], total pulses=291, cpm=(0.00, 1.43) [1/min]
uptime=12176.10 [s], total pulses=292, cpm=(0.00, 1.43) [1/min]
uptime=12193.10 [s], total pulses=293, cpm=(0.00, 1.44) [1/min]
uptime=12268.70 [s], total pulses=294, cpm=(0.00, 1.43) [1/min]
uptime=12268.70 [s], total pulses=295, cpm=(0.00, 1.43) [1/min]
uptime=12281.90 [s], total pulses=296, cpm=(0.00, 1.44) [1/min]
uptime=12297.10 [s], total pulses=297, cpm=(0.00, 1.44) [1/min]
uptime=12364.10 [s], total pulses=298, cpm=(0.00, 1.44) [1/min]
uptime=12424.80 [s], total pulses=299, cpm=(0.00, 1.44) [1/min]
uptime=12424.80 [s], total pulses=300, cpm=(0.00, 1.44) [1/min]
uptime=12471.10 [s], total pulses=301, cpm=(0.00, 1.44) [1/min]
uptime=12490.10 [s], total pulses=302, cpm=(0.00, 1.45) [1/min]
uptime=12490.10 [s], total pulses=303, cpm=(0.00, 1.45) [1/min]
uptime=12528.70 [s], total pulses=304, cpm=(0.00, 1.45) [1/min]
uptime=12543.60 [s], total pulses=305, cpm=(0.00, 1.45) [1/min]
uptime=12589.20 [s], total pulses=306, cpm=(0.00, 1.45) [1/min]
uptime=12589.20 [s], total pulses=307, cpm=(0.00, 1.45) [1/min]
uptime=12593.50 [s], total pulses=308, cpm=(0.00, 1.46) [1/min]
uptime=12613.70 [s], total pulses=310, cpm=(0.02, 1.47) [1/min]
